Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Registeel,95.5,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Carbink,95.4,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Rock Slide,Moonblast,9,12,5,75000
Annihilape,94.4,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Night Slash,Shadow Ball,5,8,3,50000
Skarmory,94.4,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,8,8,5,75000
Mantine,94.2,226,water,flying,106.2,163.1,122,2113576,27,1499,Wing Attack,Aerial Ace,Ice Beam,5,7,5,75000
Feraligatr (Shadow),93.6,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Quagsire (Shadow),93.6,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,4,7,3,50000
Bastiodon,93.5,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Gligar (Shadow),93.5,207,ground,flying,108,146.2,130,2052969,30.5,1493,Wing Attack,Aerial Ace,Dig,5,7,5,75000
Lickitung,92.8,108,normal,none,98.3,126.9,183,2282878,50,1498,Lick,Body Slam,Power Whip,12,17,3,50000
Azumarill,92.7,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Mandibuzz,92.7,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Swampert,92.3,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Swampert (Shadow),92.3,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Bastiodon (Shadow),92.1,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Feraligatr,91.9,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Empoleon (Shadow),91.8,395,water,steel,125.8,115.9,122,1777988,19,1500,Steel Wing,Hydro Cannon,Drill Peck,6,6,3,10000
Clodsire,91.7,980,poison,ground,94.2,119.4,209,2352152,29,1490,Mud Shot,Earthquake,Stone Edge,8,7,3,50000
Gligar,91.7,207,ground,flying,108,146.2,130,2052969,30.5,1493,Wing Attack,Aerial Ace,Dig,5,7,5,75000
Empoleon,91.4,395,water,steel,125.8,115.9,122,1777988,19,1500,Steel Wing,Hydro Cannon,Drill Peck,6,6,3,10000
Medicham,91.1,308,fighting,psychic,106.9,139.5,141,2102958,49,1500,Counter,Ice Punch,Dynamic Punch,6,8,3,50000
Pelipper,91,279,water,flying,123.3,128.7,114,1809463,26,1496,Wing Attack,Weather Ball (Water),Hurricane,5,9,3,50000
Cresselia,90.9,488,psychic,none,93.2,158.3,163,2404853,20,1497,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Stunfisk (Galarian),90.8,618,ground,steel,101.8,127.9,169,2200089,26.5,1497,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Gallade (Shadow),90.7,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Lanturn,90.5,171,water,electric,104.8,104.8,194,2131348,27,1496,Water Gun,Surf,Thunderbolt,14,19,3,50000
Quagsire,90.3,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,4,7,3,50000
